"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2003,1,"Coastwide",16697.2537988884,0.423580570077871,4121.82444281879
2004,1,"Coastwide",10961.2270527096,0.448396431592932,2804.24821404434
2005,1,"Coastwide",21585.5973518343,0.38379560381183,4828.59981812524
2006,1,"Coastwide",9200.77690483434,0.459733320684901,2128.93201694391
2007,1,"Coastwide",14455.595240967,0.404640496395094,3316.19209794926
2008,1,"Coastwide",11165.0741686997,0.467669047956708,2714.91580493802
2009,1,"Coastwide",9080.66922437538,0.453309471100054,2205.16858169253
2010,1,"Coastwide",19664.0039680467,0.353812085481082,4147.3649678015
2011,1,"Coastwide",17217.7996714815,0.345575311813404,3559.23156463863
2012,1,"Coastwide",33142.583891965,0.433449564820606,8475.37686861276
2013,1,"Coastwide",14466.3633042674,0.555741467007657,4493.02711990731
2014,1,"Coastwide",31151.084370871,0.330080456462625,6002.12837904447
2015,1,"Coastwide",24867.5509276464,0.377164298311832,5574.17177844592
2016,1,"Coastwide",56558.7639567496,0.323594995132063,11288.9055565569
2003,1,"OR",1781.49618786243,0.522040403803962,455.2088816039
2004,1,"OR",821.698289509609,0.712450502772658,262.902331347455
2005,1,"OR",2125.82995129982,0.489593823621253,509.656571343845
2006,1,"OR",1360.8556022691,0.548509390129438,352.50739630289
2007,1,"OR",2028.68185898631,0.470446458427671,500.224726010591
2008,1,"OR",1237.56337999868,0.596747127634626,347.909298615403
2009,1,"OR",1041.4540683694,0.508888637838141,251.091928550718
2010,1,"OR",1913.83908961927,0.565814645027182,503.721316356962
2011,1,"OR",1989.11599010191,0.505592972598608,484.524795346278
2012,1,"OR",2883.50844725736,0.540993330510837,760.58424138974
2013,1,"OR",1315.47882316569,0.620414292871133,415.778620613141
2014,1,"OR",5415.44967978565,0.436531488495638,1240.98896772158
2015,1,"OR",2744.34374734508,0.451690481842815,601.362845562935
2016,1,"OR",14854.6756567612,0.382351001822575,3678.44796873255
2003,1,"WA",14915.757611026,0.440082046658521,3898.65600859438
2004,1,"WA",10139.5287632,0.449462418962842,2645.05810421673
2005,1,"WA",19459.7674005345,0.39579274949711,4567.52632871945
2006,1,"WA",7839.92130256523,0.478537615998432,1908.47186901211
2007,1,"WA",12426.9133819807,0.427643407506005,3049.99790143065
2008,1,"WA",9927.51078870104,0.47784280511369,2495.38963677483
2009,1,"WA",8039.21515600598,0.475124824302579,2076.85906992816
2010,1,"WA",17750.1648784275,0.356521581115778,3861.7291400697
2011,1,"WA",15228.6836813796,0.35150469040373,3283.44342508689
2012,1,"WA",30259.0754447076,0.44353346374322,8048.98543853188
2013,1,"WA",13150.8844811017,0.576608199858878,4275.30789542228
2014,1,"WA",25735.6346910853,0.340571273525581,5224.70218372855
2015,1,"WA",22123.2071803014,0.393706405903677,5294.48510519109
2016,1,"WA",41704.0882999884,0.37159200669492,9388.38500856978
2003,1,"Shallow",12468.7103936209,0.393545594134172,2806.54932287714
2004,1,"Shallow",8268.55796230363,0.436488360299609,2060.37202016317
2005,1,"Shallow",16184.1846694191,0.372893777936697,3472.781139404
2006,1,"Shallow",7589.20153532035,0.457517031849155,1764.53067783798
2007,1,"Shallow",11678.9170227447,0.390374051248814,2669.73351950746
2008,1,"Shallow",9217.49050788771,0.461510054318842,2237.08121629208
2009,1,"Shallow",7702.47077571503,0.460987170935811,1940.25874235168
2010,1,"Shallow",15527.2851592136,0.351460687490616,3255.66854038628
2011,1,"Shallow",14729.6776755594,0.349135440008862,3129.64385787058
2012,1,"Shallow",25555.8161427812,0.413028842524888,6175.51307728917
2013,1,"Shallow",11092.4113925333,0.538025914579978,3331.68759623838
2014,1,"Shallow",25212.8068601137,0.324087524680203,4809.761437556
2015,1,"Shallow",20490.5181325228,0.384377207956259,4780.00750421294
2016,1,"Shallow",48597.2868887066,0.328035576646589,10099.991091827
