Year,PacFIN,Tows,Triennial,Tows,NWFSCcombo,Tows,WA\_Sport
1972,994,14,,,,,
1973,341,5,,,,,
1974,384,4,,,,,
1975,405,4,,,,,
1976,1771,19,,,,,
1977,1620,17,1426,17,,,
1978,972,11,,,,,
1979,2548,26,,,,,32
1980,4520,46,755,14,,,228
1981,4729,48,,,,,14
1982,5010,51,,,,,19
1983,2644,28,1699,21,,,40
1984,4383,45,,,,,
1985,5685,57,,,,,3
1986,4365,45,1216,22,,,345
1987,4083,79,,,,,278
1988,3315,67,,,,,250
1989,3696,75,399,11,,,227
1990,3663,74,,,,,207
1991,3132,76,,,,,247
1992,4170,104,467,13,,,504
1993,3779,89,,,,,537
1994,4384,104,,,,,452
1995,4203,100,369,44,,,655
1996,3836,89,,,,,537
1997,5506,139,,,,,541
1998,5009,123,1436,89,,,441
1999,5561,138,,,,,528
2000,5107,130,,,,,
2001,4743,126,746,50,,,
2002,3154,76,,,,,654
2003,2204,58,,,53,3,624
2004,3029,73,452,53,27,2,584
2005,2001,56,,,73,5,575
2006,1954,52,,,41,5,426
2007,1869,62,,,76,4,498
2008,1650,62,,,74,3,447
2009,1578,67,,,37,5,352
2010,1960,70,,,66,4,419
2011,1816,87,,,70,4,319
2012,2584,105,,,79,5,272
2013,1846,113,,,74,4,352
2014,2534,177,,,93,6,1234
2015,3050,159,,,75,5,1127
2016,2836,139,,,102,5,1635
