Year,Commercial,SE,Hake ByCatch,SE,NWFSCcombo,SE,Triennial,SE
1977,,,,,,,11368.4,0.219216
1978,,,,,,,,
1979,,,,,,,,
1980,,,,,,,7818.55,0.274711
1981,,,,,,,,
1982,,,,,,,,
1983,,,,,,,10135,0.170033
1984,,,,,,,,
1985,,,1.00611,0.425881,,,,
1986,,,1.35756,0.387295,,,7729.08,0.182748
1987,641.149,0.353427,0.993077,0.394892,,,,
1988,514.979,0.302692,1.15608,0.386407,,,,
1989,368.741,0.303289,0.877684,0.409155,,,5821.89,0.287978
1990,357.044,0.248952,1.17246,0.406961,,,,
1991,402.153,0.221209,1.63818,0.477399,,,,
1992,359.749,0.243326,1.68957,0.441639,,,8009.17,0.268764
1993,304.496,0.216313,1.76728,0.473396,,,,
1994,317.445,0.212022,0.654467,0.418132,,,,
1995,295.223,0.185458,0.666408,0.469324,,,2765.16,0.304197
1996,424.163,0.172725,0.577053,0.428156,,,,
1997,136.876,0.210612,0.39973,0.451079,,,,
1998,223.353,0.192643,0.428197,0.487105,,,20868.2,0.206626
1999,,,0.616137,0.445554,,,,
2000,,,,,,,,
2001,,,,,,,4532.19,0.304026
2002,,,,,,,,
2003,,,,,21414.2,0.404277,,
2004,,,,,15615.8,0.476737,15724,0.272497
2005,,,,,28766.7,0.360455,,
2006,,,,,11758.6,0.420183,,
2007,,,,,20075.3,0.364872,,
2008,,,,,15379.4,0.414772,,
2009,,,,,9939.86,0.396472,,
2010,,,,,29371.7,0.361754,,
2011,,,,,23241.6,0.352012,,
2012,,,,,21824.6,0.387529,,
2013,,,,,15938.2,0.509227,,
2014,,,,,45904.3,0.338385,,
2015,,,,,30202,0.326201,,
2016,,,,,62864.1,0.302864,,
