Row Labels,HookAndLineSurvey,SE of log,OnboardSurvey,SE of log,RecreationalCatch,SE of log,RecStudy,SE of log
1980,,,,,0.16906775,0.169928,,
1981,,,,,0.14055561,0.1982319,,
1982,,,,,0.34203909,0.1526349,,
1983,,,,,0.33071867,0.1668873,,
1984,,,,,0.33958869,0.1268736,,
1985,,,,,0.37869585,0.1082248,,
1986,,,,,0.37257515,0.1322654,,
1987,,,0.8133328,0.126574844,0.1189829,0.2441327,,
1988,,,0.6343104,0.101679276,0.13365184,0.2001411,,
1989,,,0.8522171,0.084915576,0.31376717,0.213753,,
1990,,,0.9093288,0.133977039,,,,
1991,,,0.8073466,0.117339263,,,,
1992,,,0.7455402,0.085525137,,,,
1993,,,0.4938712,0.086364415,0.49651325,0.4489544,,
1994,,,0.5348264,0.084834992,0.43280003,0.3085333,,
1995,,,0.6525309,0.081048827,0.47219674,0.1991604,,
1996,,,0.5808826,0.077189569,0.27627318,0.1348186,,
1997,,,0.6955441,0.068307912,1.17544381,0.1302118,,
1998,,,0.5528797,0.08776176,0.71648963,0.1662158,,
1999,,,,,0.31582331,0.1462659,,
2000,,,,,0.20093222,0.2904064,,
2001,,,0.158537,0.186140031,0.08905061,0.2164467,2.715176695,0.395914868
2002,,,0.255531,0.14431145,0.11339147,0.2346758,3.662267913,0.315260438
2003,,,0.2012105,0.102094124,0.07792557,0.253192,4.552786765,0.298276714
2004,0.1134,0.3632,0.2137081,0.089882159,,,12.87112967,0.2878043
2005,0.1389,0.3238,0.2949842,0.079178192,,,1.544977612,0.747841785
2006,0.1203,0.3432,0.4690773,0.072687045,,,1.216340299,0.829109181
2007,0.1694,0.3216,0.6181525,0.064377699,,,1.351971219,0.8007272
2008,0.072,0.3931,0.2329368,0.084969374,,,4.6464421,0.280178195
2009,0.0861,0.3963,0.3410287,0.077220928,,,4.984328546,0.295035502
2010,0.063,0.4469,0.2137353,0.077654873,,,3.900374786,0.440147921
2011,0.0514,0.4238,0.6194598,0.068737965,,,2.991999426,0.466684474
2012,0.0675,0.3979,0.3512048,0.078393583,,,2.706892345,0.69129381
2013,0.0895,0.4228,0.7603788,0.065181954,,,8.958956975,0.298834537
2014,0.065,0.4044,0.6555545,0.068835229,,,5.960422054,0.320862599
2015,0.0862,0.3722,0.6008681,0.072384183,,,5.03056072,0.388117059
2016,0.0521,0.4261,0.2241657,0.087326658,,,1.745896453,0.817528437
