Year,CommercialCatch,RecreationalCatch
1915,0,0
1916,494.4,0
1917,769.48,0
1918,903.62,0
1919,622.04,0
1920,635.63,0
1921,527.62,0
1922,453.79,0
1923,488.66,0
1924,290.08,0
1925,377.1,0
1926,576.24,0
1927,476.44,0
1928,549.67,4.19
1929,463.81,8.37
1930,677.45,9.63
1931,623.52,12.83
1932,497.45,16.04
1933,313.83,19.25
1934,347.64,22.46
1935,428.73,25.67
1936,522.05,28.87
1937,461.91,34.24
1938,376.05,33.67
1939,273.43,29.44
1940,392.07,42.37
1941,398.89,39.16
1942,134.13,20.8
1943,176.17,19.89
1944,322.54,16.33
1945,702.37,21.78
1946,729.07,37.48
1947,394.47,29.77
1948,428.47,59.43
1949,296.47,76.98
1950,398.04,93.85
1951,400.92,107.79
1952,311.84,93.94
1953,148.04,80.16
1954,186.27,100.21
1955,149.65,120.26
1956,340.27,134.48
1957,379.93,115.2
1958,596.51,197.87
1959,481.69,180.07
1960,264.02,133.91
1961,184.71,100.6
1962,123.54,117.74
1963,175.86,81.88
1964,130.81,62.61
1965,120.53,103.55
1966,171.95,112.87
1967,151.96,113.49
1968,139.45,127.26
1969,67.2061,154.18
1970,64.9609,177.46
1971,135.863,139.94
1972,183.984,186.28
1973,344.077,238.41
1974,444.105,259.33
1975,475.854,257.44
1976,245.911,303.66
1977,295.579,268.24
1978,167.066,243.64
1979,233.641,267.27
1980,193.56,346
1981,386.441,427
1982,425.479,1213
1983,992.887,590
1984,1378.6,371
1985,658.53,390
1986,564.622,288
1987,498.568,249
1988,224.076,213
1989,831.536,302
1990,792.226,208.6
1991,279.01,208.6
1992,516.909,208.6
1993,212.892,71
1994,228.906,42
1995,194.465,33
1996,133.622,96
1997,331.053,402
1998,309.193,112
1999,42.8727,205
2000,28.1953,134
2001,2.82452,56
2002,2.39588,25
2003,1.21336,19
2004,1.212,13
2005,4.98453,20.2299
2006,5.08342,18.7598
2007,4.33453,59.7615
2008,2.41175,19.9975
2009,1.08046,48.2296
2010,0.924876,24.1213
2011,0.707605,45.2223
2012,0.844136,52.8336
2013,4.41936,55.4772
2014,5.30931,60.1124
2015,3.45456,95.8143
2016,1.7867,31.8569
