regulation_date 	 location_id 	 regulation
1/1/1983	 Vancouver Columbia 	" Established a 40,000 pound coastwide trip limit on Sebastes complex, to be adjusted as necessary in midseason so that annual catch in the Vancouver and Columbia areas falls about halfway between the 1982 catch and 1983 aggregate ABC (about 14,000 mt)."
6/28/1983	 Vancouver Columbia 	" retained 40,000-pound trip limit on Sebastes complex; trip frequency in Vancouver and Columbia areas set at one per week; when 18,500 mt quota is achieved, fishery closes (Vancouver and Columbia areas ABC = 9,500 mt). Harvest guidelines for the Vancouver and Columbia areas Sebastes complex shall not be permitted to exceed 130% of the respective summed ABCs in 1984 for Vancouver and Columbia."
9/10/1983	 4300 South 	" Continued 40,000-pound trip limit on Sebastes complex south of 43N latitude; no limit on number of trips. "
9/10/1983	 Vancouver Columbia 	" Established a 3,000-pound trip limit on Sebastes complex in Vancouver and Columbia areas, with stipulation that if 18,500 mt quota is reached, fishery closes. "
9/10/1983	 Vancouver Columbia 	 Removed once per week trip frequency limit on sebastes complex in Vancouver and Columbia. 
1/1/1984	 4300 South 	" Continued 40,000-pound trip limit on Sebastes complex south of 4300 (changed to 4250 on February, 12, 1984); no limit on trip frequency."
1/1/1984	 Vancouver Columbia 	" Established 30,000-pound trip limit on Sebastes complex from Vancouver and Columbia areas; 1 trip per week north of 4300 N latitude (changed to Cape Blanco, 4250, on February 12,1984)."
2/12/1984	 Vancouver Columbia 	" Southern boundary of Vancouver and Columbia areas shifted south, from 4300' N latitude to 4250' N latitude for management of Sebastes complex; application of Sebastes complex regulations clarified. "
5/6/1984	 ALL 	" Specified that fishing for groundfish on a Sebastes complex trip may occur on only one side of Cape Blanco (4250), which allows southern caught fish to be landed north of Cape Blanco using the southern trip limit of 40,000 pounds with appropriate declaration of intent."
5/6/1984	 Vancouver Columbia 	" Reduced Vancouver and Columbia areas Sebastes complex from 30,000 pounds once per week to 15,000 pounds once per week, with option to land 30,000 pounds once every 2 weeks with appropriate advance declaration of intent. "
8/1/1984	 ALL 	" Vessel operators on combined groundfish/Sebastes complex trips allowed to fish on both sides of a line at 4250 N latitude (Cape Blanco), but landings of Sebastes complex in excess of 3,000 pounds controlled by the trip limit/trip frequency in effect north of the line (Vancouver and Columbia areas). Appropriate advance declaration of intent required."
8/1/1984	 Vancouver Columbia 	" Reduced Sebastes complex trip limit in Vancouver and Columbia areas to 7,500 pounds once each week or 15,000 pounds once every two weeks with appropriate advance declaration of intent. Recommended that when the 10,100 mt harvest guideline is reached, a 3,000 pounds trip limit will be imposed. "
1/10/1985	 ALL 	" If fishers fish on both sides of the Cape Blanco line during a trip, the northern limit on Sebastes complex applies. "
1/10/1985	 ALL 	" Landings of Sebastes complex and widow rockfish smaller than 3,000 pounds unrestricted. "
