"Label","Northern Base Model","McAllister-Ianelli weights","M prior Age64","M fixed Age64","No commercial index","No hake bycatch index","No commercial or hake indices"
"TOTAL_like",1009.96,1504.71,1010.62,1057.74,1013.48,1017.37,1016.3
"Survey_like",0.556302,8.06127,0.381749,-1.89436,3.59862,6.23791,7.05794
"Length_comp_like",370.253,559.482,370.325,398.363,385.735,386.156,385.719
"Age_comp_like",733.343,1027.5,733.407,742.422,717.536,718.772,716.222
"Parm_priors_like",0.0919441,0.225803,0.737172,0.000000470477,0,0,0
"Recr_Virgin_millions",28.5178,37.5457,28.0161,11.4216,34.7045,29.8944,39.8616
"SR_LN(R0)",10.2583,10.5333,10.2405,9.34327,10.4546,10.3054,10.5932
"NatM_p_1_Fem_GP_1",0.144833,0.161112,0.14368,0.08438,0.153197,0.146498,0.159286
"NatM_p_1_Mal_GP_1",-0.137476,-0.128344,-0.137254,0,-0.141418,-0.139915,-0.142935
"SPB_Virgin_thousand_mt",0.015,0.014,0.015,0.022,0.015,0.015,0.016
"SPB_2017_thousand_mt",0.008,0.008,0.008,0.005,0.01,0.009,0.011
"Bratio_2017",0.537933,0.580139,0.533673,0.225371,0.637791,0.578106,0.690195
"SPRratio_2016",0.482241,0.417394,0.487056,1.01826,0.387022,0.445052,0.341352
"TotYield_MSY_thousand_mt",4.497,5.125,4.468,3.171,5.062,4.644,5.496
