Label,,Base,No_Ages,No_Lengths,No_Comm,No_HnL,No_MRFSS,No_Onboard,No_Small,Base,No_CPUEs,No_HnL,No_Juv,No_Rec,No_Onboard,Base,M_Age_64,M_Est,Add_Combo,M-I_Tune
TOTAL_like,,519.58,289.02,173.12,424.52,453.55,405.61,471.18,476.98,519.58,500.49,514.99,514.10,517.49,517.68,519.58,543.47,480.67,524.95,1189.54
Survey_like,,5.78,2.46,-17.56,9.60,3.06,-11.68,5.85,5.97,5.78,0.00,5.36,8.66,4.00,5.47,5.78,16.37,-1.13,3.39,26.23
Length_comp_like,,289.10,277.76,0.00,203.16,240.72,205.83,238.48,258.20,289.10,269.25,283.12,280.15,289.02,286.56,289.10,304.50,268.57,287.90,443.52
Age_comp_like,,216.53,0.00,188.93,205.73,202.53,209.21,217.63,205.00,216.53,215.55,216.01,216.43,216.09,216.52,216.53,212.31,202.75,221.57,699.04
Parm_priors_like,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Recr_Virgin_millions,,10.43,15.90,9.11,5.12,10.06,0.00,9.92,10.27,10.43,9.83,9.76,10.54,10.49,10.30,10.43,0.00,162.76,4.29,11.79
SR_LN(R0),,9.25,9.67,9.12,8.54,9.22,9.86,9.20,9.24,9.25,9.19,9.19,9.26,9.26,9.24,9.25,8.00,12.00,8.36,9.37
SR_BH_steep,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
NatM_p_1_Fem_GP_1,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.08,0.21,0.15,0.15
NatM_p_1_Mal_GP_1,,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,0.00,0.07,-0.14,-0.14
L_at_Amax_Fem_GP_1,,49.64,48.86,47.39,48.99,49.62,49.68,49.59,49.64,49.64,49.75,49.65,49.66,49.65,49.64,49.64,49.10,49.32,49.59,49.48
L_at_Amax_Mal_GP_1,,-0.11,-0.12,-0.08,-0.10,-0.10,-0.11,-0.11,-0.12,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.10,-0.10,-0.10,-0.11
VonBert_K_Fem_GP_1,,0.10,0.10,0.17,0.11,0.10,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.10,0.12
VonBert_K_Mal_GP_1,,0.14,-0.10,0.14,0.14,0.17,0.19,0.13,0.17,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.16,0.22,0.08,0.16
SPB_Virgin_thousand_mt,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00
Bratio_2017,,0.74,0.76,0.71,0.44,0.74,0.00,0.73,0.72,0.74,0.85,0.75,0.77,0.75,0.74,0.74,0.00,0.75,0.46,0.90
SPRratio_2016,,0.03,0.02,0.04,0.07,0.03,0.99,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.96,0.00,0.09,0.01
